,0,1
0,"没事,了",break
1,"嗨,小优",continue
2,"格力空调,好,吗,？",query
3,"空调,漏水,怎么办",query
4,"冰箱,臭烘烘,的",query
5,"空调,室外机,噪声,大,怎么办",query
6,"哪些,食物,不,适合,放在,冰箱,里",query
7,"辣椒油,怎么,洗",query
8,"全,棉衣,物上,的,辣椒油,怎么,洗",query
9,"化纤,与,棉,混纺,衣物,上,的,辣椒油,怎么,洗",query
10,"化纤,衣物,上,的,辣椒油,怎么,洗",query
11,"全棉,面料,衣物,上,的,辣椒油,怎么,洗",query
12,"化纤,与,棉,混纺,面料,衣物,上,的,辣椒油,怎么,洗",query
13,"化纤面料,衣物,上,的,辣椒油,怎么,洗",query
14,"全棉,面料,上,的,辣椒油,怎么,洗",query
15,"化纤,与,棉,混纺,面料,上,的,辣椒油,怎么,洗",query
16,"化纤面料,上,的,辣椒油,怎么,洗",query
17,"全,棉衣,物滴,上,了,辣椒油,怎么,洗",query
18,"化纤,与,棉,混纺,衣物,滴上,了,辣椒油,怎么,洗",query
19,"化纤,衣物,的,辣椒油,滴上,了,怎么,洗",query
20,"全,棉衣,物滴,上,了,辣椒油,怎么办",query
21,"化纤,与,棉,混纺,衣物,滴上,了,辣椒油,怎么办",query
22,"化纤,衣物,的,滴,上,了,辣椒油,怎么办",query
23,"全,棉衣,物滴,上,了,辣椒油,怎么,处理",query
24,"化纤,与,棉,混纺,衣物,滴上,了,辣椒油,怎么,处理",query
25,"化纤,衣物,滴上,了,辣椒油,怎么,处理",query
26,"化纤,衣物,滴上,了,辣椒油,怎么办",query
27,"白色,纺织品,上,的,辣椒油,怎么,洗",query
28,"白色,纺织品,滴上,了,辣椒油,怎么办",query
29,"白色,纺织品,滴上,了,辣椒油,怎么,处理",query
30,"白色,纺织品,滴上,了,辣椒油,怎么,洗",query
31,"白色,衣物,上,的,辣椒油,怎么,洗",query
32,"白色,衣物,滴上,了,辣椒油,怎么办",query
